id,target
0,0.03408
1,0.03965
2,0.03783
3,0.02943
4,0.03032
5,0.03135
6,0.03665
8,0.03322
10,0.04708
11,0.03256
12,0.03381
14,0.03231
15,0.04225
18,0.03616
21,0.04341
23,0.04145
24,0.03678
25,0.03836
27,0.04805
29,0.03680
30,0.03866
31,0.04078
32,0.04674
33,0.03908
37,0.03214
38,0.03451
39,0.04982
40,0.03494
41,0.03856
42,0.03525
44,0.03254
45,0.03706
47,0.03335
49,0.03147
51,0.03736
52,0.03180
53,0.03753
54,0.04897
55,0.03673
56,0.03775
57,0.04777
59,0.04768
60,0.03970
62,0.03145
63,0.05732
67,0.04068
68,0.03086
69,0.04950
70,0.03734
71,0.04217
73,0.03789
75,0.04142
76,0.03150
81,0.02963
82,0.03874
83,0.03256
86,0.03072
87,0.03899
88,0.03195
91,0.04280
92,0.03898
94,0.03254
97,0.03756
100,0.03985
102,0.03874
103,0.03309
105,0.03957
106,0.04873
108,0.03766
113,0.05118
114,0.03870
115,0.03465
118,0.04304
122,0.03065
124,0.03124
126,0.03417
128,0.03812
129,0.03902
130,0.04419
131,0.04779
132,0.04533
133,0.03187
134,0.04748
135,0.04484
136,0.03276
139,0.03326
140,0.03883
141,0.04210
146,0.03450
148,0.03668
151,0.03034
152,0.04430
154,0.03429
157,0.03557
158,0.03040
159,0.04522
161,0.03991
164,0.03744
165,0.04734
167,0.03706
168,0.04168
169,0.03781
171,0.03925
172,0.04458
173,0.03194
174,0.03729
175,0.03816
176,0.04269
178,0.03753
179,0.03442
180,0.03146
181,0.02744
182,0.04093
183,0.03924
184,0.04899
185,0.03584
187,0.03111
188,0.03398
190,0.03557
191,0.03611
192,0.05825
195,0.03717
196,0.04213
198,0.03870
201,0.03418
202,0.03589
203,0.03480
204,0.03192
207,0.03471
213,0.04699
219,0.03315
220,0.03694
222,0.04374
226,0.03450
228,0.05078
230,0.03777
231,0.03469
232,0.04301
233,0.03892
234,0.02875
236,0.04330
237,0.03630
238,0.04682
240,0.03754
241,0.03181
242,0.04114
243,0.03625
245,0.03834
246,0.05439
247,0.03326
249,0.05086
250,0.04038
251,0.03102
252,0.04151
253,0.03070
254,0.03794
255,0.05140
256,0.04024
257,0.03515
258,0.04175
259,0.05092
260,0.02663
262,0.03040
267,0.03400
268,0.03219
270,0.03132
272,0.03906
273,0.03443
274,0.04166
275,0.04127
276,0.03259
277,0.03552
278,0.04160
279,0.04582
281,0.04270
282,0.03521
283,0.04226
287,0.03584
288,0.04183
289,0.04120
290,0.03770
291,0.04092
292,0.05414
293,0.03919
294,0.03528
295,0.03304
296,0.05559
297,0.03473
298,0.03767
299,0.04478
300,0.04345
303,0.04391
304,0.04021
308,0.03059
314,0.04607
315,0.03895
317,0.03592
318,0.05082
320,0.04521
322,0.04113
323,0.03896
327,0.04257
329,0.04427
331,0.03786
332,0.05435
333,0.04316
334,0.03391
335,0.03143
336,0.03828
337,0.04544
341,0.04564
343,0.03194
345,0.04462
347,0.03367
348,0.03184
349,0.03494
352,0.03536
353,0.03033
354,0.04023
355,0.03337
356,0.04545
357,0.03845
