,广告行业,投放时段,电视台,用户年龄段,用户性别,教育水平,所在行业,消费水平
0,邮电通讯,18:00-20:00,东方卫视,10-20,男,本科及以上,医药卫生,中
1,酒类,22:00-0:00,CCTV,10-20,男,本科及以上,IT电子通信,中
2,家用电器,4:00-6:00,CCTV,30+,女,本科及以上,教育,高
3,邮电通讯,18:00-20:00,东方卫视,10-20,男,本科及以上,医药卫生,中
4,酒类,22:00-0:00,CCTV,10-20,男,本科及以上,IT电子通信,中
5,家用电器,4:00-6:00,CCTV,30+,女,本科及以上,教育,高
6,邮电通讯,18:00-20:00,东方卫视,10-20,男,本科及以上,医药卫生,中
7,酒类,22:00-0:00,CCTV,10-20,男,本科及以上,IT电子通信,中
8,家用电器,4:00-6:00,CCTV,30+,女,本科及以上,教育,高
9,邮电通讯,18:00-20:00,东方卫视,10-20,男,本科及以上,医药卫生,中
10,酒类,22:00-0:00,CCTV,10-20,男,本科及以上,IT电子通信,中
11,家用电器,4:00-6:00,CCTV,30+,女,本科及以上,教育,高
12,邮电通讯,18:00-20:00,东方卫视,10-20,男,本科及以上,医药卫生,中
13,酒类,22:00-0:00,CCTV,10-20,男,本科及以上,IT电子通信,中
14,家用电器,4:00-6:00,CCTV,30+,女,本科及以上,教育,高
15,邮电通讯,18:00-20:00,东方卫视,10-20,男,本科及以上,医药卫生,中
16,酒类,22:00-0:00,CCTV,10-20,男,本科及以上,IT电子通信,中
17,家用电器,4:00-6:00,CCTV,30+,女,本科及以上,教育,高
18,邮电通讯,18:00-20:00,东方卫视,10-20,男,本科及以上,医药卫生,中
19,酒类,22:00-0:00,CCTV,10-20,男,本科及以上,IT电子通信,中
20,家用电器,4:00-6:00,CCTV,30+,女,本科及以上,教育,高
21,邮电通讯,18:00-20:00,东方卫视,10-20,男,本科及以上,医药卫生,中
22,酒类,22:00-0:00,CCTV,10-20,男,本科及以上,IT电子通信,中
23,家用电器,4:00-6:00,CCTV,30+,女,本科及以上,教育,高
